Refrigerador,1,Refrigerador Vertical,1
Plantilla eléctrica,1,Plantilla eléctrica para empotrar,1
Horno,1,Horno para empotrar,1
Microondas,1,Horno de microondas para empotrar,1
Lavadora,1,Lavadora automatica,1
Secadora,1,Secadora para ropa,1
Horno tostador,1,Horno tostador de pan.,1
Televisor,1,Televisor ,1
Plancha de cocinar,1,Plancha para cocinar,1
Procesador de alimentos multiuso,1,Procesador de alimentos multiuso,1
Olla arrocera,1,Olla arrocera (preferiblemente pequeña),
Olla de cocimiento lento,1,Olla de cocimiento lento,
Licuadora,1,Licuadora ,
Batidora,1,Batidora manual,
Cafetera eléctrica,1,Calentador eléctrico de agua (tetera),
Olla de presión,1,Olla de presión,
Wafflera o sandwichera pequeña,1,Wafflera o sandwichera pequeña,
Set de ollas,1,Set de ollas para cocina de vitrocerámica,
Set de cuchillos,1,Set de cuchillos,
Juego de cubiertos,1,"Juego de cubiertos: cucharas, tenedores, cubiertos y cucharitas",
Sartén de cerámica grande,1,Sartén de cerámica grande con tapa para cocina de vitrocerámica,
Sartén de cerámica pequeño ,1,Sartén de cerámica pequeño con tapa para cocina de vitrocerámica,
Pirex,4,Pirex de diferentes tamaños,
Vajillas,2,Vajilla ,
Set de utensilios de cocina,1,"Set de utensilios de cocina: Espátula, cucharon, cuchara, tenedor, otros, grandes para ollas de cerámica",
Organizador de cubiertos,2,"Organizador de cucharas, cubiertos, tenedores.",
Juego de Jarras,2,Jarras para tomar bebidas calientes,
Juego de vasos,2,Juego de vasos de vidrio para fresco,
"Instrumentos de cocina",1,"Instrumentos de cocina : pelador, colador, rallador, abrelatas, embudo, batidor de globo manual.",
Pichel de vidrio para fresco,2,Pichel de vidrio con tapa para fresco,
Ensaladera,2,Ensaladera,
Set de especieros,2,Set de especieros,
Sartén eléctrico,1,Sartén eléctrico,
Set de dulceras,2,Set de dulceras,
Posa cucharas,2,Posa cucharas,
Toallas de cocina,5,Toallas para cocina de paño (limpiones),
Paños y toallas para baño,6,"Paños y toallas para baño color azul, blanco, café o beige",
Set de Sábanas,4,Set de Sábanas para cama Queen,
Edredones,4,Edredón para cama Queen,
Plancha para ropa,1,Plancha de vapor para ropa,
Juego de copas,2,Juego de copas,
Cobija para cama Queen,1,Cobija para cama Queen,
Ganchos para colgar ropa,20,Ganchos de madera para guindar ropa,
Escurridor de platos,1,Escurridor de platos color blanco o beige,
Individuales de tela,2,Set de 4 Individuales de tela para desayunador,
Aislantes de calor para ollas,4,Aislantes de calor para poner ollas,
Accesorios para baño,2,"Accesorios para baño color azul y café: jabonera, dispensador de jabón líquido y portacepillos",
Cestas para ropa,3,Cestas para ropa,
Organizador para baño,2,Organizador para baño de acero inoxidable,
Escalerita para cocina,1,Escalerita para cocina,
Basurero grande para cocina,1,Basurero grande  para cocina,
Lámpara para veladoras,2,Lámpara para mesitas de noche,
